City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Guhagar,IN,82.36,few clouds,17.4842,73.1929,Hotel Seawinds
443,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
451,Lethem,GY,85.33,moderate rain,3.3803,-59.7968,Savannah Inn
456,Salinopolis,BR,75.36,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
457,Bartica,GY,88.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
459,Banda Aceh,ID,81.1,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
461,Singkang,MY,76.6,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
462,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
466,Bandarbeyla,SO,83.28,clear sky,9.4942,50.8122,JABIR HOTEL
468,Pathein,MM,78.51,overcast clouds,16.7833,94.7333,Pathein Hotel
480,Micoud,LC,85.93,scattered clouds,13.8167,-60.9,Zamacà
481,San Rafael Del Sur,NI,88.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
485,Eyl,SO,84.56,broken clouds,7.9803,49.8164,Amiin Hotel
487,Matamoros,MX,87.91,clear sky,25.5333,-103.25,Quinta Belem
493,Sabha,LY,83.66,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
496,Sinnamary,GF,83.19,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
501,Labuhan,ID,80.65,overcast clouds,-6.8844,112.2051,DoubleFAG
503,San Rafael,AR,76.41,clear sky,-34.6177,-68.3301,Hotel San Rafael
505,Khash,IR,82.45,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
506,Meulaboh,ID,78.42,moderate rain,4.1363,96.1285,Kost Pria
511,Monrovia,LR,77.56,light rain,6.3005,-10.7969,Sunset Inn
512,Mogadishu,SO,82.74,overcast clouds,2.0371,45.3438,Hotel Juba
518,Baculin,PH,77.88,extreme rain,7.4525,126.5842,Baculin Cove Beach Resort
522,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
523,Tual,ID,84.76,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
525,Vanimo,PG,79.39,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
526,Conceicao Do Araguaia,BR,89.71,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
532,Chabahar,IR,83.17,clear sky,25.2919,60.643,هتل گدروشیا
537,Chardara,KZ,80.69,few clouds,41.2547,67.9692,Жанаргул
545,Kigoma,TZ,75.36,light rain,-4.8769,29.6267,MJI Mwema Lodge
548,Sibu,MY,75.29,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
557,Lazaro Cardenas,MX,84.13,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
560,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
561,Aksu,CN,77.34,clear sky,41.1231,80.2644,Pudong Holiday Hotel
563,Kudat,MY,79.7,moderate rain,6.8837,116.8477,Dream Garden Hotel
573,Hit,IQ,76.77,scattered clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
576,Shieli,KZ,81.86,broken clouds,44.1667,66.75,Gostinitsa Aybek Shieli
580,Nabire,ID,77.77,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
581,Muros,ES,84.69,few clouds,42.7762,-9.0603,Apartment Av. Castelao
585,Dicabisagan,PH,79.34,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
590,Tagusao,PH,81.27,broken clouds,9.1924,117.8141,Green Villa beach resort
591,Acarau,BR,81.77,overcast clouds,-2.8856,-40.12,castelo pizzaria
592,Pathalgaon,IN,82.87,few clouds,22.5667,83.4667,Queens Park Marriage Garden
595,Mastung,PK,77.76,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
598,Waingapu,ID,79.03,few clouds,-9.6567,120.2641,Pondok Wisata Elim
599,The Valley,AI,82.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
600,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
602,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
604,Guliston,UZ,81.97,clear sky,40.4897,68.7842,Sadafhotel
606,Pyay,MM,81.79,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
609,Tefe,BR,87.91,scattered clouds,-3.3542,-64.7114,Aracati Hotel
611,Eydhafushi,MV,84.78,overcast clouds,5.1033,73.0708,Soneva Fushi
615,Birjand,IR,77.47,few clouds,32.8663,59.2211,Birjand Tourist Hotel
618,Santa,PH,80.15,broken clouds,17.486,120.4348,Monte Leah Beach Resort
619,Owando,CG,78.31,light rain,-0.4819,15.8999,Exaunel Hotel Owando
624,Qurayyat,SA,75.38,clear sky,31.3318,37.3428,Resorts Kandel
625,Berbera,SO,86.16,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
628,Kendrapara,IN,82.85,broken clouds,20.5042,86.416,Hotel Mayuri Palace
629,Sorong,ID,80.33,moderate rain,-0.8833,131.25,Waigo Splash Hotel
631,Diu,IN,82.36,clear sky,20.7141,70.9822,Hotel Relax Inn
633,Valdosta,US,80.91,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
634,Nishihara,JP,76.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
635,Jipijapa,EC,76.5,overcast clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
636,Posse,BR,85.8,few clouds,-14.0931,-46.3694,Pousada das Palmeiras
638,Alyangula,AU,78.46,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
641,Fountain Hills,US,86.74,clear sky,33.6117,-111.7174,Fountain Park Hotel
646,Igarapava,BR,83.32,few clouds,-20.0383,-47.7469,Ângelo Palace Hotel Igarapava
649,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
652,Hambantota,LK,82.71,overcast clouds,6.1241,81.1185,Bungalow 63
653,Quang Ngai,VN,75.92,broken clouds,15.1167,108.8,Central Hotel
655,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
658,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
663,Mahibadhoo,MV,84.54,overcast clouds,3.7833,72.9667,Omadhoo Inn
664,Ascension,US,86.07,clear sky,30.2169,-90.9001,Highland Inn
666,Pangani,TZ,78.78,light rain,-5.4333,38.9667,Safari Mashariki Lodge
672,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
678,Tomigusuku,JP,77.14,broken clouds,26.185,127.675,Hotel Gran View Okinawa
680,Banjar,ID,78.73,overcast clouds,-8.19,114.9675,The Hamsa Resort
