City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Lincoln,40.8,-96.667,64.31,67,0,16.11,clear sky
215,Los Llanos De Aridane,28.6585,-17.9182,62.35,68,0,12.66,clear sky
216,Spassk-Dalniy,44.5978,132.8211,56.26,31,14,13.04,few clouds
217,Konstantinovka,49.6167,127.9833,61.59,23,0,9.35,clear sky
218,Souillac,-20.5167,57.5167,80.98,69,40,11.5,scattered clouds
219,Asau,46.4333,26.4,60.96,56,22,4.47,few clouds
220,Naze,28.3667,129.4833,74.32,88,100,9.06,heavy intensity rain
221,Ugep,5.8086,8.0812,78.89,84,89,3.74,overcast clouds
222,Taoudenni,22.6783,-3.9836,80.91,10,82,15.82,broken clouds
223,Gornopravdinsk,60.05,69.9,51.8,82,100,6.17,overcast clouds
224,Missoula,47.0166,-113.8009,36,95,96,5.61,overcast clouds
225,Morkov,49.5368,18.0597,59.29,85,0,1.14,light rain
226,Dzilam Gonzalez,21.2833,-88.9333,78.64,80,0,5.59,clear sky
227,Stanghelle,60.5528,5.7357,47.84,78,78,1.48,broken clouds
228,Meulaboh,4.1363,96.1285,84.49,71,100,6.29,overcast clouds
229,Alice Springs,-23.7,133.8833,69.22,32,0,16.11,clear sky
230,Saguday,16.5428,121.5638,93.94,44,59,3.8,broken clouds
231,Kakamega,0.2842,34.7523,66.72,71,13,1.95,few clouds
232,Santa Rosa De Osos,6.6474,-75.4603,49.59,98,80,0.65,broken clouds
233,Conakry,9.538,-13.6773,73.47,94,75,6.91,thunderstorm with light rain
234,Warrnambool,-38.3833,142.4833,55.92,71,100,7.76,overcast clouds
235,Labuhan,-6.8844,112.2051,87.4,67,100,5.75,overcast clouds
236,Saint Anthony,45.0205,-93.218,62.8,47,100,23.02,overcast clouds
237,Ust-Kan,50.9276,84.761,45.12,40,20,6.33,few clouds
238,Palu,-0.8917,119.8707,80.17,96,100,1.83,overcast clouds
239,Surt,31.2089,16.5887,66.97,57,14,4.94,few clouds
240,Harper,4.375,-7.7169,80.82,82,99,7.67,light rain
241,Touros,-5.1989,-35.4608,74.57,93,93,7.99,overcast clouds
242,Valle De Allende,26.9333,-105.4,67.57,19,5,8.7,clear sky
243,Tabas,33.5959,56.9244,88.02,23,69,4.61,broken clouds
244,Luderitz,-26.6481,15.1594,56.7,57,0,13.53,clear sky
245,Alamogordo,32.8995,-105.9603,76.57,9,0,12.66,clear sky
246,Prachuap Khiri Khan,12.2167,99.75,82.71,66,100,8.68,moderate rain
247,Beira,-19.8436,34.8389,73.49,83,20,5.75,few clouds
248,Usinsk,65.9939,57.5281,42.49,100,100,17.58,overcast clouds
249,Andenes,69.3143,16.1194,35.58,87,100,17.27,overcast clouds
250,Trincomalee,8.5711,81.2335,89.02,68,100,16.75,overcast clouds
251,Prince Rupert,54.3161,-130.3201,46.09,79,100,5.75,overcast clouds
252,Kankon,15.0167,74.0167,89.4,66,5,13.29,clear sky
253,Payson,40.0444,-111.7321,55.38,44,100,3,overcast clouds
254,Dicabisagan,17.0818,122.4157,86.49,66,96,7.74,overcast clouds
255,Rocha,-34.4833,-54.3333,53.56,93,63,6.06,broken clouds
256,Sorland,67.667,12.6934,37.26,61,100,20.92,overcast clouds
257,Charters Towers,-20.1,146.2667,74.8,76,72,12.37,moderate rain
258,Vestmannaeyjar,63.4427,-20.2734,47.39,93,100,20.71,overcast clouds
259,Garissa,-0.4536,39.6401,86.67,49,95,21.59,overcast clouds
260,Soligalich,59.0778,42.2864,58.57,59,99,14.52,overcast clouds
261,Sao Filipe,14.8961,-24.4956,72.09,80,5,12.15,clear sky
262,Wanlaweyn,2.6185,44.8938,90.18,49,14,13.91,few clouds
263,Bathsheba,13.2167,-59.5167,81.21,78,40,13.8,scattered clouds
264,Kwekwe,-18.9281,29.8149,65.73,74,2,3.83,clear sky
265,Nombre De Dios,23.85,-104.2333,64.45,38,0,6.02,clear sky
266,Khudumelapye,-23.8833,24.75,66.69,36,79,6.17,broken clouds
267,Vila Franca Do Campo,37.7167,-25.4333,65.19,91,83,4.88,broken clouds
268,Muscat,23.6139,58.5922,87.82,45,0,6.24,clear sky
269,Nikolskoye,59.7035,30.7861,43.88,72,100,9.22,overcast clouds
270,Nicolas Bravo,18.45,-88.9167,74.98,100,44,2.3,scattered clouds
271,Buloh Kasap,2.5536,102.764,83.37,83,100,6.33,overcast clouds
272,Sotuta,20.6,-89.0167,77.61,83,0,5.28,clear sky
273,Candido Mendes,-1.4467,-45.7167,74.44,96,100,0.92,overcast clouds
274,Mitsamiouli,-11.3847,43.2844,84.49,65,20,8.05,few clouds
275,Sinnamary,5.3833,-52.95,77.47,87,88,9.71,overcast clouds
276,Bara,10.3744,10.7288,84.09,62,100,10.38,overcast clouds
277,Portland,45.5234,-122.6762,45.52,87,100,8.99,overcast clouds
278,Comodoro Rivadavia,-45.8667,-67.5,69.66,40,0,13.8,clear sky
279,Kruisfontein,-34.0033,24.7314,53.89,64,99,6.38,overcast clouds
280,Itoman,26.1247,127.6694,79.18,86,75,11.5,broken clouds
281,Am Timan,11.0297,20.2827,90.48,37,99,6.24,overcast clouds
282,Jalu,29.0331,21.5482,75.54,29,0,14.05,clear sky
283,Moron,-34.6534,-58.6198,62.96,90,5,5.77,clear sky
284,Kavieng,-2.5744,150.7967,84.51,72,72,18.1,broken clouds
285,Ekibastuz,51.6667,75.3667,56.17,23,0,8.03,clear sky
286,Hoshcha,50.6003,26.6744,59.85,68,97,1.5,overcast clouds
287,Kupang,-10.1667,123.5833,86.23,58,87,14,overcast clouds
288,Vostok,46.4856,135.8833,41.59,74,100,11.07,overcast clouds
289,Gerash,27.6652,54.1371,89.74,14,75,4.85,broken clouds
290,Coihaique,-45.5752,-72.0662,57.15,72,20,12.66,light rain
291,Muskogee,35.5834,-95.3336,70.34,73,0,12.66,clear sky
292,Saskylakh,71.9167,114.0833,16.59,89,69,15.79,broken clouds
293,Ust-Karsk,52.7011,118.8077,75.43,12,22,10.8,few clouds
294,Vite,17.2833,74.55,100.94,13,11,16.08,few clouds
295,Cap Malheureux,-19.9842,57.6142,82.47,67,33,10,scattered clouds
296,Asyut,27.181,31.1837,85.69,13,12,5.32,few clouds
297,Tucuman,-26.8241,-65.2226,62.6,82,100,2.3,overcast clouds
298,Novato,38.1074,-122.5697,54.91,76,0,11.99,clear sky
299,Sanmenxia,34.7747,111.1814,71.33,41,85,16.73,overcast clouds
300,Nanakuli,21.3906,-158.1547,75.15,68,20,5.75,few clouds
301,Benicarlo,40.4165,0.4271,67.57,59,11,3.67,few clouds
302,Bonavista,48.6499,-53.1147,32.88,73,6,19.42,clear sky
303,Kodinsk,58.6881,99.1844,39.07,64,100,17.36,light rain
304,Juneau,58.3019,-134.4197,42.8,93,20,0,few clouds
305,Kjopsvik,68.097,16.3742,38.17,86,100,8.37,overcast clouds
306,Rio Gallegos,-51.6226,-69.2181,39.25,93,100,4.61,light rain
307,Port Blair,11.6667,92.75,82.44,78,75,17.27,broken clouds
308,Okhotsk,59.3833,143.3,41.36,75,0,10.58,clear sky
309,Gustavo Diaz Ordaz,26.2333,-98.5833,82.04,83,1,5.99,clear sky
310,Palmas,-10.2128,-48.3603,75.07,88,40,3.44,scattered clouds
311,Coquimbo,-29.9533,-71.3436,55.13,100,100,1.14,overcast clouds
312,Poso,-1.3959,120.7524,81.72,84,100,2.84,overcast clouds
313,Rafai,4.95,23.9167,77.59,78,100,3.15,overcast clouds
314,Samarai,-10.6167,150.6667,83.55,80,100,15.43,overcast clouds
315,Peniche,39.3558,-9.3811,58.93,73,22,5.86,few clouds
316,Whitehorse,60.7161,-135.0538,39.97,81,75,4.61,broken clouds
317,Marawi,7.9986,124.2928,75.6,92,100,5.75,overcast clouds
318,Dornoch,57.8805,-4.0288,46.38,94,100,3.38,overcast clouds
319,Yuryuzan,54.8633,58.4219,59.63,29,69,1.36,broken clouds
320,Ahipara,-35.1667,173.1667,60.26,84,30,4.18,scattered clouds
321,Kavaratti,10.5669,72.642,84.9,70,35,15.05,scattered clouds
322,Ovre Ardal,61.3167,7.8,28.33,90,95,1.66,overcast clouds
323,Hambantota,6.1241,81.1185,91.74,70,75,13.8,broken clouds
324,Calella,41.618,2.6678,69.93,55,7,2.68,clear sky
325,Ciudad Bolivar,8.1222,-63.5497,77.54,82,99,4.27,overcast clouds
326,Cabo San Lucas,22.8909,-109.9124,76.6,63,0,15.12,clear sky
327,Olafsvik,64.8945,-23.7142,42.57,94,100,14.63,overcast clouds
328,Ferme-Neuve,46.7001,-75.4493,33.46,68,0,2.93,clear sky
329,Rampur Hat,24.1667,87.7833,98.92,33,16,7.31,few clouds
330,Mogocha,53.7333,119.7667,70.93,12,99,11.81,overcast clouds
331,Isoka,-10.1606,32.6335,69.22,72,100,3.83,overcast clouds
332,Videira,-27.0083,-51.1517,45.21,99,29,2.84,scattered clouds
333,Shahpur,16.7,76.8333,103.66,16,99,5.21,overcast clouds
334,Gazojak,41.1875,61.4036,93.27,18,100,1.16,overcast clouds
335,Dvurechensk,56.5982,61.0953,60.49,34,7,6.6,clear sky
336,Beringovskiy,63.05,179.3167,33.44,96,100,6.6,overcast clouds
337,Isangel,-19.55,169.2667,75.31,64,4,5.75,clear sky
